lambda_air[angstrom], lambda_vac[nm], transition
6413.885, 641.5657945784909, 9-3_P2e(6.5)
6420.056, 642.1830603613577, 9-3_P1e(7.5)
6420.544, 642.2318734716087, 9-3_P1f(7.5)
6451.960, 645.3743175364813, 9-3_P2f(7.5)
6452.209, 645.3992242269662, 9-3_P2e(7.5)
6457.734, 645.9518726825613, 9-3_P1e(8.5)
6458.344, 646.0128890733756, 9-3_P1f(8.5)
6463.505, 646.529127752333, 6-1_R1f(3.5)
6463.538, 646.5324286390726, 6-1_R1e(3.5)
6463.793, 646.5579354911553, 6-1_R1f(4.5)
6463.810, 646.5596359479612, 6-1_R1e(4.5)
6464.870, 646.6656644312205, 6-1_R2e(3.5)
6464.922, 646.6708658285162, 6-1_R2f(3.5)
6465.828, 646.7614901737622, 6-1_R2e(2.5)
6465.867, 646.7653912217389, 6-1_R2f(2.5)
6465.936, 646.7722930758517, 6-1_R1f(2.5)
6465.971, 646.7757940163439, 6-1_R1e(2.5)
6470.138, 647.1926059897885, 6-1_R2e(1.5)
6470.152, 647.1940063659929, 6-1_R2f(1.5)
6470.960, 647.2748280784058, 6-1_R1f(1.5)
6470.988, 647.2776288308175, 6-1_R1e(1.5)
6477.902, 647.9692146258747, 6-1_R2f(0.5)
6477.919, 647.9709150827113, 6-1_R2e(0.5)
6497.471, 649.9266405228908, 6-1_Q2f(0.5)
6497.582, 649.937743506042, 6-1_Q2e(0.5)
6498.711, 650.0506738482705, 6-1_Q1f(1.5)
6498.746, 650.0541747889089, 6-1_Q1e(1.5)
6504.931, 650.6728410156059, 6-1_Q1f(2.5)
6505.060, 650.6857444826329, 6-1_Q1e(2.5)
6513.845, 651.5644805947871, 6-1_Q1f(3.5)
6514.137, 651.5936884429616, 6-1_Q1e(3.5)
6522.396, 652.4198104270888, 6-1_P2e(1.5)
6522.455, 652.4257120129124, 6-1_P2f(1.5)
6533.011, 653.4815957479369, 6-1_P1e(2.5)
6533.077, 653.4881975219964, 6-1_P1f(2.5)
6544.006, 654.5813912975846, 6-1_P2e(2.5)
6544.038, 654.584592157778, 6-1_P2f(2.5)
6553.553, 655.5363479365874, 6-1_P1e(3.5)
6553.681, 655.5491513775136, 6-1_P1f(3.5)
6568.772, 657.0586570714165, 6-1_P2f(3.5)
6568.786, 657.060057447794, 6-1_P2e(3.5)
6577.183, 657.8999831978372, 6-1_P1e(4.5)
6577.386, 657.9202886555189, 6-1_P1f(4.5)
6596.608, 659.8430054641354, 6-1_P2f(4.5)
6596.679, 659.8501073731461, 6-1_P2e(4.5)
6603.990, 660.5814039507167, 6-1_P1e(5.5)
6604.279, 660.6103117214573, 6-1_P1f(5.5)
6627.555, 662.9385376080684, 6-1_P2f(5.5)
6627.679, 662.9509409425743, 6-1_P2e(5.5)
6634.038, 663.5870119460164, 6-1_P1e(6.5)
6634.421, 663.6253222456376, 6-1_P1f(6.5)
6634.421, 663.6253222456376, 6-1_P1f(6.5)
6661.664, 666.3503549076439, 6-1_P2f(6.5)
6661.878, 666.3717606632162, 6-1_P2e(6.5)
6667.384, 666.9225087500062, 6-1_P1e(7.5)
6667.869, 666.9710217945075, 6-1_P1f(7.5)
6699.008, 670.0857593623001, 6-1_P2f(7.5)
6699.304, 670.1153673245583, 6-1_P2e(7.5)
6704.087, 670.5937959863558, 6-1_P1e(8.5)
6704.683, 670.6534120188267, 6-1_P1f(8.5)
6744.216, 674.607775551332, 6-1_P1e(9.5)
6744.933, 674.6794948419795, 6-1_P1f(9.5)
6787.849, 678.9722495870242, 6-1_P1e(10.5)
6788.697, 679.0570724062957, 6-1_P1f(10.5)
